gamma,	Updated_Delay(ms)
1,	0.0
1.1,	-0.004069392463927219
1.3,	-0.01220817739178164
1.6,	-0.024416354783563285
1.8,	-0.0325551397114177
2,	-0.04069392463927213
2.5,	-0.061040886958908185
3,	-0.08138784927854427
4,	-0.12208177391781638

Theta Slope: 0.03820090338992727
Intercept: -0.0015545446837018156
